"species" "tarsus.mm" "tail.mm" "wing.mm" "mass.g" "foraging" "location" "measureID"
"113" "Ptilinopus_pulchellus" 13.82 62.62 108.62 72 "arboreal" "Australasia" "measureA"
"1182" "Ptilinopus_superbus" 17.42 60.72 127.12 118 "arboreal" "Australasia" "measureA"
"341" "Ducula_zoeae" 28 116.1 226.4 592 "arboreal" "Australasia" "measureB"
"822" "Macropygia_amboinensis" 15.22 176.12 175.62 143 "arboreal" "Australasia" "measureA"
"65" "Geotrygon_veraguensis" 39.92 33.02 191.32 155 "terrestrial" "America" "measureA"
"118" "Ptilinopus_superbus" 14.92 67.12 129.92 118 "arboreal" "Australasia" "measureA"
"73" "Henicophaps_albifrons" 28.62 127.52 200.82 247 "terrestrial" "Australasia" "measureA"
"1312" "Streptopelia_semitorquata" 21.32 127.62 187.12 244 "terrestrial" "Africa" "measureA"
"1163" "Ptilinopus_rivoli" 15.5 73.6 142.1 145 "arboreal" "Australasia" "measureB"
"852" "Macropygia_tenuirostris" 18.92 176.22 177.02 174 "arboreal" "Eurasia" "measureA"
"19" "Columbina_minuta" 11.02 31.52 67.92 34 "terrestrial" "America" "measureA"
"39" "Gallicolumba_erythroptera" 30.42 75.02 143.62 113.5 "terrestrial" "Australasia" "measureA"
"1311" "Streptopelia_semitorquata" 20.6 128 188.7 244 "terrestrial" "Africa" "measureB"
"593" "Geotrygon_frenata" 39.3 50.6 159.2 301.5 "terrestrial" "America" "measureB"
"793" "Leptotila_verreauxi" 29 63.8 145.6 126.5 "terrestrial" "America" "measureB"
"1503" "Zenaida_aurita" 21.1 88.1 155.5 150 "terrestrial" "America" "measureB"
"173" "Columbina_cruziana" 8 30 87.4 47 "terrestrial" "America" "measureB"
"1133" "Ptilinopus_pulchellus" 19.8 61.6 110.4 72 "arboreal" "Australasia" "measureB"
"513" "Claravis_pretiosa" 18.1 60.4 165.2 64.5 "terrestrial" "America" "measureB"
"1103" "Ptilinopus_magnificus" 29.4 175.6 228 360 "arboreal" "Australasia" "measureB"
"231" "Columbina_talpacoti" 7 53.4 76.4 49 "terrestrial" "America" "measureB"
"4" "Chalcophaps_stephani" 21.82 75.62 138.02 122 "terrestrial" "Australasia" "measureA"
"503" "Gallicolumba_tristigmata" 42.8 107.8 181.9 275 "terrestrial" "Australasia" "measureB"
"1162" "Ptilinopus_rivoli" 17.52 70.02 136.12 145 "arboreal" "Australasia" "measureA"
"97" "Patagioenas_maculosa" 27.02 141.32 227.12 326.5 "terrestrial" "America" "measureA"
"691" "Goura_victoria" 93.7 282.9 371 2384 "terrestrial" "Australasia" "measureB"
"643" "Geotrygon_saphirina" 31.2 17.2 141.5 203 "terrestrial" "America" "measureB"
"702" "Gymnophaps_albertisii" 27.42 124.12 210.62 259 "arboreal" "Australasia" "measureA"
"322" "Ducula_rubricera" 29.92 120.62 250.12 675 "arboreal" "Australasia" "measureA"
"1173" "Ptilinopus_solomonensis" 16.5 66.4 117.8 97.5 "arboreal" "Australasia" "measureB"
"412" "Gallicolumba_jobiensis" 21.72 71.32 149.72 142 "terrestrial" "Australasia" "measureA"
"68" "Goura_cristata" 95.92 253.22 363.42 2100 "terrestrial" "Australasia" "measureA"
"1511" "Zenaida_galapagoensis" 27.4 37.2 140.1 79.5 "terrestrial" "America" "measureB"
"311" "Ducula_pistrinaria" 29.7 141.8 246.4 485 "arboreal" "Australasia" "measureB"
"563" "Geotrygon_albifacies" 42.6 75.3 164.6 155 "terrestrial" "America" "measureB"
"232" "Columbina_talpacoti" 13.82 51.32 73.72 49 "terrestrial" "America" "measureA"
"1531" "Zenaida_macroura" 24.9 89.9 143.9 135 "terrestrial" "America" "measureB"
"21" "Columbina_picui" 7.32 55.52 94.92 52 "terrestrial" "America" "measureA"
"762" "Leptotila_megalura" 28.52 67.62 149.32 145 "terrestrial" "America" "measureA"
"1243" "Streptopelia_decaocto" 23.3 118.7 170.3 186 "terrestrial" "Eurasia" "measureB"
"1422" "Turacoena_manadensis" 21.92 187.12 200.12 212.5 "arboreal" "Australasia" "measureA"
"1421" "Turacoena_manadensis" 13.2 191 200.5 212.5 "arboreal" "Australasia" "measureB"
"84" "Columba_guinea" 23.2 106.2 232.5 300 "terrestrial" "Africa" "measureB"
"302" "Ducula_pinon" 37.82 128.72 263.82 802 "arboreal" "Australasia" "measureA"
"861" "Metriopelia_aymara" 7.7 37.3 110.2 61.8 "terrestrial" "America" "measureB"
"393" "Gallicolumba_erythroptera" 28 68.3 147.5 113.5 "terrestrial" "Australasia" "measureB"
"61" "Geotrygon_lawrencii" 42.82 71.02 143.22 220 "terrestrial" "America" "measureA"
"1062" "Phaps_chalcoptera" 24.02 116.32 203.02 260 "terrestrial" "Australasia" "measureA"
"23" "Columbina_talpacoti" 12.42 49.92 80.32 49 "terrestrial" "America" "measureA"
"1201" "Reinwardtoena_browni" 14.2 190 279.6 302 "arboreal" "Australasia" "measureB"
"1123" "Ptilinopus_occipitalis" 22.3 104 162.8 247.5 "arboreal" "Eurasia" "measureB"
"761" "Leptotila_megalura" 27.8 73.8 149.1 145 "terrestrial" "America" "measureB"
"116" "Ptilinopus_rivoli" 17.92 70.52 142.22 145 "arboreal" "Australasia" "measureA"
"26" "Ducula_aenea" 26.72 128.12 236.62 549.5 "arboreal" "Eurasia" "measureA"
"1402" "Treron_waalia" 27.42 106.42 172.72 259.5 "arboreal" "Africa" "measureA"
"1281" "Streptopelia_orientalis" 24 116.5 189.1 219.5 "terrestrial" "Eurasia" "measureB"
"82" "Macropygia_amboinensis" 15.22 183.72 177.72 143 "arboreal" "Australasia" "measureA"
"442" "Gallicolumba_luzonica" 33.52 96.32 146.52 133 "terrestrial" "Eurasia" "measureA"
"912" "Otidiphaps_nobilis" 61.02 173.92 198.62 500 "terrestrial" "Australasia" "measureA"
"1013" "Patagioenas_speciosa" 14 113.3 187.7 287.5 "arboreal" "America" "measureB"
"1491" "Zenaida_auriculata" 24.6 81.5 145.6 150 "terrestrial" "America" "measureB"
"803" "Leucosarcia_melanoleuca" 32 129.5 195.5 415 "terrestrial" "Australasia" "measureB"
"1101" "Ptilinopus_magnificus" 31.8 168.9 225 360 "arboreal" "Australasia" "measureB"
"1433" "Turtur_afer" 20.4 82.7 113 63.5 "terrestrial" "Africa" "measureB"
"54" "Claravis_pretiosa" 22.7 64.1 167.4 64.5 "terrestrial" "America" "measureB"
"140" "Treron_waalia" 28.02 101.42 178.52 259.5 "arboreal" "Africa" "measureA"
"1001" "Patagioenas_plumbea" 30.6 150.8 182 170 "arboreal" "America" "measureB"
"36" "Gallicolumba_beccarii" 23.62 59.32 104.82 81.5 "terrestrial" "Australasia" "measureA"
"1052" "Phapitreron_leucotis" 19.02 88.92 132.22 145 "arboreal" "Eurasia" "measureA"
"105" "Phapitreron_leucotis" 18.62 87.12 132.42 145 "arboreal" "Eurasia" "measureA"
"1452" "Turtur_chalcospilos" 13.92 86.92 112.72 60 "terrestrial" "Africa" "measureA"
"851" "Macropygia_tenuirostris" 18.7 169.1 181.9 174 "arboreal" "Eurasia" "measureB"
"692" "Goura_victoria" 90.12 284.42 379.42 2384 "terrestrial" "Australasia" "measureA"
"911" "Otidiphaps_nobilis" 59.8 176.5 194.9 500 "terrestrial" "Australasia" "measureB"
"253" "Drepanoptila_holosericea" 29.2 76.5 153.3 190 "arboreal" "Australasia" "measureB"
"583" "Geotrygon_costaricensis" 36.9 74.9 140.5 277.5 "terrestrial" "America" "measureB"
"742" "Leptotila_cassini" 25.12 44.42 129.72 155.5 "terrestrial" "America" "measureA"
"471" "Gallicolumba_rufigula" 26.2 64.5 134.1 129 "terrestrial" "Australasia" "measureB"
"233" "Columbina_talpacoti" 14.3 52.7 76.5 49 "terrestrial" "America" "measureB"
"1222" "Streptopelia_capicola" 26.12 115.72 148.32 114 "terrestrial" "Africa" "measureA"
"83" "Macropygia_mackinlayi" 14.82 155.32 158.32 87 "arboreal" "Australasia" "measureA"
"57" "Geotrygon_chiriquensis" 40.62 53.12 151.52 301.5 "terrestrial" "America" "measureA"
"1033" "Petrophassa_albipennis" 18.5 101.1 132.8 141.5 "terrestrial" "Australasia" "measureB"
"653" "Geotrygon_veraguensis" 34.9 33.3 190.4 155 "terrestrial" "America" "measureB"
"145" "Turtur_chalcospilos" 18.22 81.12 110.32 60 "terrestrial" "Africa" "measureA"
"1343" "Streptopelia_turtur" 20.7 98.4 295.5 135.5 "terrestrial" "Eurasia" "measureB"
"50" "Gallicolumba_tristigmata" 37.42 107.82 175.32 275 "terrestrial" "Australasia" "measureA"
"332" "Ducula_rufigaster" 30.02 107.22 203.82 498 "arboreal" "Australasia" "measureA"
"86" "Metriopelia_aymara" 9.22 38.82 106.82 61.8 "terrestrial" "America" "measureA"
"119" "Columba_oenas" 31.1 103.1 218.2 303.5 "terrestrial" "Eurasia" "measureB"
"58" "Geotrygon_costaricensis" 41.92 72.22 135.12 277.5 "terrestrial" "America" "measureA"
"112" "Ptilinopus_occipitalis" 18.82 103.12 156.12 247.5 "arboreal" "Eurasia" "measureA"
"8" "Columba_guinea" 20.62 110.62 225.52 300 "terrestrial" "Africa" "measureA"
"813" "Lopholaimus_antarcticus" 37.3 171.2 267.6 537.5 "arboreal" "Australasia" "measureB"
"591" "Geotrygon_frenata" 41.2 51.8 153.3 301.5 "terrestrial" "America" "measureB"
"1202" "Reinwardtoena_browni" 15.32 197.42 274.22 302 "arboreal" "Australasia" "measureA"
"522" "Geopelia_cuneata" 15.92 105.92 90.62 30 "terrestrial" "Australasia" "measureA"
"139" "Treron_vernans" 20.02 81.62 146.12 132.5 "arboreal" "Eurasia" "measureA"
"733" "Henicophaps_albifrons" 25.9 124.4 198.3 247 "terrestrial" "Australasia" "measureB"
"3" "Chalcophaps_indica" 24.92 83.22 151.92 131.5 "terrestrial" "Eurasia" "measureA"
"771" "Leptotila_plumbeiceps" 28.4 50.2 139.2 172 "terrestrial" "America" "measureB"
"881" "Metriopelia_melanoptera" 10.2 67.5 118.2 119 "terrestrial" "America" "measureB"
"472" "Gallicolumba_rufigula" 25.22 68.02 129.82 129 "terrestrial" "Australasia" "measureA"
"501" "Gallicolumba_tristigmata" 39.6 108.6 176.7 275 "terrestrial" "Australasia" "measureB"
"882" "Metriopelia_melanoptera" 9.82 71.82 118.32 119 "terrestrial" "America" "measureA"
"85" "Macropygia_tenuirostris" 17.32 175.62 181.92 174 "arboreal" "Eurasia" "measureA"
"602" "Geotrygon_goldmani" 39.82 69.92 151.92 258 "terrestrial" "America" "measureA"
"753" "Leptotila_jamaicensis" 34.8 66.4 155.3 190 "terrestrial" "America" "measureB"
"52" "Geopelia_cuneata" 11.22 105.72 92.72 30 "terrestrial" "Australasia" "measureA"
"571" "Geotrygon_chiriquensis" 45.1 58.3 155 301.5 "terrestrial" "America" "measureB"
"1211" "Streptopelia_bitorquata" 21.7 115.9 167.1 160 "terrestrial" "Eurasia" "measureB"
"901" "Oena_capensis" 17.7 141.5 111.6 41 "terrestrial" "Africa" "measureB"
"1121" "Ptilinopus_occipitalis" 27.4 98.5 155.4 247.5 "arboreal" "Eurasia" "measureB"
"32" "Ducula_rubricera" 30.72 118.02 246.42 675 "arboreal" "Australasia" "measureA"
"781" "Leptotila_rufaxilla" 31.3 77.5 144.2 149 "terrestrial" "America" "measureB"
"1203" "Reinwardtoena_browni" 15.8 191 273.9 302 "arboreal" "Australasia" "measureB"
"1392" "Treron_vernans" 22.72 83.82 151.42 132.5 "arboreal" "Eurasia" "measureA"
"191" "Columbina_minuta" 9.8 27 65.1 34 "terrestrial" "America" "measureB"
"661" "Geotrygon_versicolor" 35.7 57.7 164.2 225 "terrestrial" "America" "measureB"
"20" "Columbina_passerina" 9.62 34.52 78.62 32 "terrestrial" "America" "measureA"
